Name,Infomail,Latitude,Longitude,Bilanzsumme
Zevener Volksbank eG,info@zvb.de,53.29929,9.28038,"694,768"
Winterbacher Bank eG,info@winterbacher-bank.de,49.87465,7.63822,"222,991"
Wiesbadener Volksbank eG,info@wvb.de,50.08204,8.24166,"7,459,303"
Westerwald Bank eG Volks- und Raiffeisenbank,info@westerwaldbank.de,50.43622,7.83025,"3,727,973"
Weser-Elbe Sparkasse,info@wespa.de,53.54276,8.57966,"4,385,788"
Wartburg-Sparkasse,info@wartburg-sparkasse.de,50.975,10.32216,"2,220,306"
Waldecker Bank eG,info@waldecker-bank.de,51.27436,8.87206,"1,261,969"
VR-Bankverein Bad Hersfeld-Rotenburg eG,info@vr-bankverein.de,50.86813,9.70685,"1,077,031"
VR-Bank Westmünsterland eG,info@vr-bank-westmuensterland.de,51.94589,7.16911,"3,301,091"
"VR-Bank Werdenfels eG, Garmisch-Partenkirchen",info@vr-werdenfels.de,47.49237,11.09628,"2,048,117"
VR-Bank Uckermark-Randow eG,info@vrb-uckermark-randow.de,53.3167,13.86658,"841,353"
VR-Bank Taufkirchen-Dorfen eG,info@vr-bank-online.de,48.3442,12.13113,"1,141,434"
VR-Bank Südwestpfalz eG Pirmasens - Zweibrücken,info@vrbank-suedwestpfalz.de,49.1997,7.60878,"855,857"
VR-Bank Spangenberg-Morschen eG,info@vrb-spangenberg.de,51.11671,9.66672,"164,187"
"VR-Bank Rottal-Inn eG, Pfarrkirchen",info@vrbk.de,48.43126,12.9382,"3,965,824"
VR-Bank Passau eG,info@vr-bank-passau.de,48.57482,13.46097,"2,348,253"
"VR-Bank Ostbayern-Mitte eG, Straubing",info@vr-obm.de,48.88198,12.56972,"2,008,019"
VR-Bank Ostalb eG,info@vrbank-ostalb.de,48.83627,10.09318,"2,152,809"
VR-Bank NordRhön eG,info@vr-bank-nordrhoen.de,50.67303,9.76612,"1,586,225"
VR-Bank Nordeifel eG,info@vr-banknordeifel.de,50.52859,6.47616,"917,924"
VR-Bank Niederbayern-Oberpfalz eG,info@meine-bank-no.de,49.01953,12.09749,"2,084,289"
VR-Bank Neu-Ulm eG,info@vrnu.de,48.3955,10.00589,"2,321,585"
VR-Bank Mittelsachsen eG,info@vr-bank-mittelsachsen.de,50.91694,13.34289,"953,302"
VR-Bank Mittelfranken Mitte,info@vr-mfr.de,49.30286,10.57223,"2,426,496"
VR-Bank Mitte eG,info@vrbankmitte.de,51.51237,10.26107,"2,634,893"
VR-Bank Memmingen eG,info@vr-memmingen.de,47.98677,10.18132,"1,303,359"
"VR-Bank Main-Rhön eG, Schweinfurt",info@vr-bank-mr.de,50.04999,10.2333,"2,483,259"
VR-Bank Ludwigsburg eG,info@vrbank-lb.de,48.89539,9.18951,"6,112,436"
VR-Bank Lichtenfels-Ebern eG,info@oldenburger-volksbank.de,50.14568,11.06382,"951,677"
VR-Bank Landshut eG,info@vrla.de,48.53622,12.15166,"684,327"
VR-Bank Landsberg-Ammersee eG,info@vr-ll.de,48.0515,10.87377,"1,040,275"
VR-Bank Landau-Mengkofen eG,info@vrbanklm.de,48.67288,12.69413,"1,560,267"
VR-Bank Ismaning Hallbergmoos Neufahrn eG,info@vrbank-ihn.de,48.22424,11.67153,"1,235,192"
"VR-Bank Isar-Vils eG, Vilsbiburg",info@vrbank-isar-vils.de,48.44848,12.3558,"1,262,992"
VR-Bank in Südoldenburg eG,info@vrbank-suedoldenburg.de,52.95543,8.02255,"1,291,164"
VR-Bank in Südniedersachsen eG,info@vrbanksn.de,51.84476,9.56356,"1,300,991"
VR-Bank in Mittelbaden eG,info@vr-miba.de,48.82092,8.14213,"1,091,278"
VR-Bank Hunsrück-Mosel eG,info@vr-bank-hm.de,49.81025,7.12424,"432,184"
"VR-Bank Handels- und Gewerbebank eG, Gersthofen",info@vrbank-hg.de,48.42482,10.87786,"2,677,547"
VR-Bank Gerolzhofen eG,info@vrbank-geo.de,49.90036,10.34877,"489,418"
VR-Bank Freudenberg-Niederfischbach eG,info@vr-bank-freudenberg-niederfischbach.de,50.89837,7.87737,"256,769"
VR-Bank Fläming-Elsterland eG,info@vr-internet.de,52.0902,13.17419,"1,067,065"
"VR-Bank Fichtelgebirge-Frankenwald eG, Marktredwitz",info@vr-ff.de,50.00099,12.08564,"752,170"
VR-Bank Feuchtwangen-Dinkelsbühl eG,info@vrbank-feuchtwangen-dinkelsbuehl.de,49.06923,10.32235,"1,473,949"
VR-Bank Erding eG,info@vr-bank-erding.de,48.30644,11.90766,"1,610,947"
VR-Bank Ellwangen eG,info@vrbank-ellwangen.de,48.9616,10.13198,"1,114,117"
VR-Bank Ehningen-Nufringen eG,info@vrben.de,48.65926,8.94051,"225,644"
VR-Bank eG Osnabrücker Nordland,info@vrbank-osnordland.de,52.51679,7.67496,"721,726"
VR-Bank eG Magstadt-Weissach,info@vrbank-mw.de,48.74235,8.96281,"282,749"
VR-Bank eG,info@vrbank-eg.de,50.81787,6.13411,"1,659,305"
VR-Bank Dornstetten-Horb eG,info@vrdh.de,48.46636,8.5013,"640,000"
"VR-Bank Donau-Mindel eG, Dillingen",info@vr-dm.de,48.58125,10.49514,"1,877,551"
VR-Bank Coburg eG,info@vrbank-coburg.de,50.25811,10.96446,"1,594,106"
VR-Bank Bonn Rhein-Sieg eG,info@vrbank-brs.de,50.79283,7.20708,"4,473,246"
VR-Bank Bad Salzungen Schmalkalden eG,info@vrb-meinebank.de,50.81232,10.23208,"1,530,718"
VR-Bank Altenburger Land eG,info@vrbank-altenburgerland.de,50.89715,12.352,"763,455"
VR-Bank Alb-Blau-Donau eG,info@vrbankabd.de,48.28285,9.72622,"1,025,085"
VR Smart Finanz Bank GmbH,info@vr-smart-finanz.de,50.14264,8.57163,"1,740,552"
VR PLUS Altmark-Wendland eG,info@vr-plus.de,53.68937,10.53224,"1,005,574"
VR PartnerBank eG Chattengau-Schwalm-Eder,info@vr-partnerbank.de,51.13132,9.54387,"1,505,199"
"VR GenoBank DonauWald eG, Viechtach",info@vr-genobank.de,49.08007,12.88627,"1,834,289"
VR Bank zwischen den Meeren eG,info@meine-vrbank.de,54.07574,9.98154,"3,812,608"
VR Bank Westthüringen eG,info@vrb-westthueringen.de,51.21777,10.45483,"1,058,627"
VR Bank Westküste eG,info@vrbank-westkueste.de,54.48536,9.05382,"2,363,136"
VR Bank Weimar eG,info@vrbank-weimar.de,50.98105,11.32966,"531,643"
VR Bank Südpfalz eG,info@vrbank-suedpfalz.de,49.19828,8.11234,"2,779,691"
